po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total
PO-202458,SUP0003,PUN001,6/11/2022,6/27/2022,6/26/2022,Received,10241983.35,2810533.704,13052517.05
PO-897684,SUP0004,HYD001,8/7/2024,8/25/2024,8/25/2024,Received,5691486.76,1211243.486,6902730.246
PO-335794,SUP0001,AHM001,6/18/2024,7/7/2024,7/7/2024,Received,13935044.38,3901812.426,17836856.81
PO-834946,SUP0005,KOL001,6/13/2022,7/11/2022,7/11/2022,Received,9574023.5,2633527.981,12207551.48
PO-494220,SUP0003,HYD001,3/11/2024,3/27/2024,3/27/2024,Received,3814063.28,1052253.364,4866316.644
PO-709137,SUP0008,AHM001,5/9/2020,6/4/2020,6/4/2020,Received,2706435.05,744207.516,3450642.566
PO-341939,SUP0002,DEL001,5/4/2023,5/14/2023,5/19/2023,Received,27704844.38,7318457.505,35023301.89
PO-908623,SUP0007,DEL001,7/24/2023,8/5/2023,,Cancelled,12489544.03,3478901.355,15968445.39
PO-338935,SUP0002,KOL001,8/30/2022,9/9/2022,9/9/2022,Received,932141.25,234945.083,1167086.333
PO-928717,SUP0006,DEL001,6/4/2024,6/14/2024,6/14/2024,Received,33903564.14,9483940.119,43387504.26
PO-124043,SUP0003,CHN001,6/30/2024,7/16/2024,7/16/2024,Received,7983395.93,2184113.936,10167509.87
PO-409171,SUP0008,AHM001,4/12/2020,5/8/2020,,Cancelled,13840642.02,3794647.232,17635289.25
PO-293665,SUP0002,PUN001,7/4/2023,7/14/2023,7/14/2023,Received,9722904.4,2717611.968,12440516.37
PO-623109,SUP0002,CHN001,1/4/2022,1/14/2022,1/20/2022,Received,12859177.79,3453397.664,16312575.45
PO-846758,SUP0004,CHN001,10/21/2022,11/8/2022,,Cancelled,10749317.42,2989852.021,13739169.44
PO-318205,SUP0007,HYD001,11/26/2020,12/8/2020,,Cancelled,12548822.44,3200820.703,15749643.14
PO-884712,SUP0006,CHN001,10/31/2021,11/10/2021,11/10/2021,Received,13356960.8,3697808.022,17054768.82
PO-485392,SUP0002,DEL001,11/13/2022,11/23/2022,11/30/2022,Received,9460973.79,2557384.642,12018358.43
PO-405823,SUP0001,AHM001,2/12/2024,3/2/2024,3/8/2024,Received,30318523.08,8450605.253,38769128.33
PO-504755,SUP0008,AHM001,4/16/2021,5/12/2021,5/12/2021,Received,2724938.63,700300.4934,3425239.123
PO-132356,SUP0001,PUN001,9/25/2022,10/14/2022,10/14/2022,Received,8595970.32,2331168.043,10927138.36
PO-231186,SUP0006,PUN001,6/17/2023,6/27/2023,6/27/2023,Received,16131498.01,4346041.734,20477539.74
PO-863705,SUP0001,PUN001,5/28/2022,6/16/2022,6/16/2022,Received,21711.72,3908.1096,25619.8296
PO-496930,SUP0002,CHN001,8/29/2022,9/8/2022,9/8/2022,Received,26562929.24,7028593.763,33591523
PO-614627,SUP0004,HYD001,2/14/2021,3/4/2021,3/11/2021,Received,1717717.33,412226.4544,2129943.784
PO-243668,SUP0007,PUN001,11/17/2019,11/29/2019,11/27/2019,Received,10454730.64,2880594.121,13335324.76
PO-982907,SUP0007,CHN001,4/8/2021,4/20/2021,4/20/2021,Received,433512.56,78032.2608,511544.8208
PO-796561,SUP0002,KOL001,8/18/2022,8/28/2022,8/28/2022,Received,10564952.98,2941025.154,13505978.13
PO-920900,SUP0002,HYD001,12/30/2020,1/9/2021,1/9/2021,Received,8426266.5,2279484.816,10705751.32
PO-336963,SUP0008,PUN001,7/22/2019,8/17/2019,8/17/2019,Received,28721244.66,7951865.673,36673110.33
PO-112261,SUP0004,AHM001,12/11/2019,12/29/2019,12/29/2019,Received,3203164.21,878774.4938,4081938.704
PO-863438,SUP0005,KOL001,6/30/2019,7/28/2019,7/28/2019,Received,10879529.62,3010489.23,13890018.85
PO-825717,SUP0002,AHM001,7/20/2024,7/30/2024,,Cancelled,29676822.68,8202855.176,37879677.86
PO-476858,SUP0004,PUN001,9/22/2020,10/10/2020,,Cancelled,28929559.9,7941311.694,36870871.59
PO-859259,SUP0004,AHM001,5/1/2024,5/19/2024,5/20/2024,Received,2607039.86,659284.5108,3266324.371
PO-736545,SUP0006,CHN001,9/7/2021,9/17/2021,9/17/2021,Received,25500410.3,7034471.851,32534882.15
PO-819647,SUP0001,HYD001,4/27/2020,5/16/2020,5/16/2020,Received,21689285.11,5824245.448,27513530.56
PO-813658,SUP0006,CHN001,3/12/2023,3/22/2023,,Cancelled,18577883.89,5191347.188,23769231.08
PO-288319,SUP0001,KOL001,5/23/2023,6/11/2023,6/11/2023,Received,3568887.8,999288.584,4568176.384
PO-466358,SUP0007,CHN001,11/20/2022,12/2/2022,12/3/2022,Received,27230465.38,7533778.523,34764243.9
PO-578779,SUP0003,CHN001,5/31/2024,6/16/2024,6/16/2024,Received,15219785.24,4231311.29,19451096.53
PO-478403,SUP0005,KOL001,2/9/2024,3/8/2024,3/14/2024,Received,20017777.86,5447484.961,25465262.82
PO-168434,SUP0008,KOL001,9/5/2023,10/1/2023,10/1/2023,Received,32499987.77,8999132.153,41499119.92
PO-156227,SUP0001,PUN001,8/10/2024,8/29/2024,9/3/2024,Received,642565.52,179918.3456,822483.8656
PO-710552,SUP0006,DEL001,1/25/2021,2/4/2021,2/4/2021,Received,3267027.9,853625.322,4120653.222
PO-103773,SUP0005,HYD001,8/5/2023,9/2/2023,9/2/2023,Received,28593691.03,7806005.902,36399696.93
PO-400178,SUP0003,AHM001,3/16/2019,4/1/2019,4/1/2019,Received,25723192.6,7186250.428,32909443.03
PO-457507,SUP0008,KOL001,5/30/2023,6/25/2023,6/25/2023,Received,7473639.65,2074623.332,9548262.982
PO-600808,SUP0005,KOL001,7/29/2019,8/26/2019,8/26/2019,Received,36233433.54,10125331.05,46358764.59
PO-849975,SUP0007,CHN001,9/21/2019,10/3/2019,10/3/2019,Received,16154212.41,4517227.163,20671439.57
PO-513384,SUP0002,CHN001,6/28/2022,7/8/2022,7/8/2022,Received,15373663.87,4097128.101,19470791.97
PO-226530,SUP0003,DEL001,9/29/2021,10/15/2021,10/15/2021,Received,896493.25,225070.875,1121564.125
PO-180132,SUP0005,AHM001,9/8/2020,10/6/2020,10/6/2020,Received,13896431.36,3772525.031,17668956.39
PO-547983,SUP0008,CHN001,10/30/2021,11/25/2021,11/25/2021,Received,2828135.8,791878.024,3620013.824
PO-362725,SUP0007,PUN001,2/15/2019,2/27/2019,2/27/2019,Received,5352816.84,1429789.939,6782606.779
PO-872444,SUP0007,HYD001,9/20/2019,10/2/2019,10/2/2019,Received,18276864.8,4937747.059,23214611.86
PO-934131,SUP0006,AHM001,9/15/2021,9/25/2021,9/25/2021,Received,7688395.14,2148218.055,9836613.195
PO-745052,SUP0002,DEL001,8/30/2020,9/9/2020,9/16/2020,Received,11130823.15,2994932.309,14125755.46
PO-803690,SUP0008,DEL001,2/9/2020,3/6/2020,3/7/2020,Received,6335867.49,1441345.025,7777212.515
PO-619938,SUP0007,HYD001,10/26/2022,11/7/2022,11/7/2022,Received,27793397.72,7534939.634,35328337.35
PO-495978,SUP0007,KOL001,11/19/2020,12/1/2020,12/7/2020,Received,15249589.31,4135343.132,19384932.44
PO-168420,SUP0005,DEL001,12/27/2022,1/24/2023,1/24/2023,Received,35140147.23,9782387.794,44922535.02
PO-121334,SUP0006,CHN001,2/28/2024,3/9/2024,3/9/2024,Received,20578554.29,5638993.413,26217547.7
PO-947330,SUP0004,HYD001,10/5/2022,10/23/2022,10/24/2022,Received,41754572.64,11660006.95,53414579.59
PO-222169,SUP0001,DEL001,12/19/2022,1/7/2023,1/7/2023,Received,41498447.46,11613873.82,53112321.28
PO-203757,SUP0008,CHN001,8/19/2021,9/14/2021,9/14/2021,Received,19889185.01,5456008.366,25345193.38
PO-344527,SUP0001,KOL001,11/22/2023,12/11/2023,12/11/2023,Received,7863847.43,2044266.406,9908113.836
PO-538298,SUP0008,CHN001,5/4/2024,5/30/2024,5/30/2024,Received,38813138.85,10709775.04,49522913.89
PO-389815,SUP0006,AHM001,4/7/2023,4/17/2023,4/18/2023,Received,75416614.47,21101205.55,96517820.02
PO-951720,SUP0005,CHN001,3/7/2023,4/4/2023,4/4/2023,Received,4436001.92,1014834.25,5450836.17
PO-851935,SUP0004,HYD001,1/9/2022,1/27/2022,1/27/2022,Received,3013888.92,830286.9156,3844175.836
PO-798967,SUP0008,PUN001,10/11/2021,11/6/2021,11/6/2021,Received,14548320.93,4066880.812,18615201.74
PO-379712,SUP0003,DEL001,6/21/2019,7/7/2019,7/14/2019,Received,4484451.69,1134905.398,5619357.088
PO-530667,SUP0007,CHN001,7/2/2022,7/14/2022,7/14/2022,Received,1919809.19,537546.5732,2457355.763
PO-919554,SUP0002,HYD001,9/6/2022,9/16/2022,9/16/2022,Received,10255854.82,2612626.398,12868481.22
PO-911633,SUP0006,HYD001,3/18/2024,3/28/2024,3/28/2024,Received,1889475.87,340105.6566,2229581.527
PO-854965,SUP0003,AHM001,10/20/2021,11/5/2021,,Cancelled,29170303.9,7811451.159,36981755.06
PO-749030,SUP0003,HYD001,11/15/2022,12/1/2022,12/1/2022,Received,2192808.31,591999.1828,2784807.493
PO-661699,SUP0001,DEL001,1/25/2020,2/13/2020,2/13/2020,Received,25864795.28,7189611.084,33054406.36
PO-186299,SUP0004,AHM001,8/22/2020,9/9/2020,,Cancelled,6294707.48,1754310.92,8049018.4
PO-233383,SUP0002,HYD001,7/1/2022,7/11/2022,7/11/2022,Received,16112245.79,4403474.439,20515720.23
PO-645308,SUP0006,KOL001,12/10/2023,12/20/2023,12/20/2023,Received,8309414.54,2121627.612,10431042.15
PO-307760,SUP0004,AHM001,3/8/2021,3/26/2021,3/26/2021,Received,4169478.2,1147237.788,5316715.988
PO-473089,SUP0008,PUN001,7/15/2019,8/10/2019,8/10/2019,Received,9992945.47,2584376.208,12577321.68
PO-308630,SUP0003,AHM001,3/5/2023,3/21/2023,3/21/2023,Received,7132189.66,1746157.661,8878347.321
PO-381592,SUP0006,KOL001,7/26/2023,8/5/2023,8/5/2023,Received,10877887.06,2774309.353,13652196.41
PO-619102,SUP0002,PUN001,9/24/2019,10/4/2019,10/4/2019,Received,17965580.91,5015593.317,22981174.23
PO-442192,SUP0004,DEL001,5/27/2022,6/14/2022,6/18/2022,Received,31553068.79,8800823.503,40353892.29
PO-367575,SUP0006,CHN001,9/12/2019,9/22/2019,9/22/2019,Received,5632907.14,1556277.267,7189184.407
PO-709235,SUP0006,AHM001,3/12/2024,3/22/2024,,Cancelled,3972626.43,773158.1874,4745784.617
PO-320748,SUP0003,DEL001,11/9/2019,11/25/2019,11/25/2019,Received,3118760.11,873252.8308,3992012.941
PO-342933,SUP0005,KOL001,6/11/2020,7/9/2020,7/9/2020,Received,6916892.68,1887721.582,8804614.262
PO-874633,SUP0001,AHM001,4/16/2021,5/5/2021,5/5/2021,Received,6917170.24,1903964.131,8821134.371
PO-977769,SUP0003,AHM001,6/6/2020,6/22/2020,6/23/2020,Received,3055965.08,855670.2224,3911635.302
PO-404272,SUP0001,HYD001,12/11/2024,12/30/2024,1/3/2025,Received,27174212.64,7380072.889,34554285.53
PO-177421,SUP0002,CHN001,2/15/2024,2/25/2024,2/25/2024,Received,35974495.13,9796467.295,45770962.43
PO-216874,SUP0003,KOL001,4/16/2020,5/2/2020,,Cancelled,12923324.31,3600167.096,16523491.41
PO-261469,SUP0007,DEL001,4/13/2023,4/25/2023,4/25/2023,Received,31577206.75,8535465.206,40112671.96
PO-241987,SUP0006,KOL001,12/4/2020,12/14/2020,12/13/2020,Received,33926889.2,9492060.876,43418950.08
PO-266975,SUP0005,HYD001,5/15/2021,6/12/2021,6/12/2021,Received,16916890.93,4716563.397,21633454.33
PO-420356,SUP0008,KOL001,9/26/2024,10/22/2024,10/22/2024,Received,6015672.84,1684388.395,7700061.235
PO-209076,SUP0007,PUN001,11/24/2024,12/6/2024,12/6/2024,Received,58734400.48,16367245.05,75101645.53
PO-542719,SUP0006,AHM001,5/13/2020,5/23/2020,,Cancelled,7220245.39,2010754.804,9231000.194
PO-258089,SUP0006,PUN001,3/23/2019,4/2/2019,4/6/2019,Received,21240108.01,5862430.3,27102538.31
PO-889847,SUP0003,DEL001,9/22/2020,10/8/2020,,Cancelled,6794071.81,1814970.017,8609041.827
PO-786125,SUP0002,CHN001,1/3/2021,1/13/2021,1/13/2021,Received,7699607.31,2139471.327,9839078.637
PO-750357,SUP0007,PUN001,2/7/2023,2/19/2023,2/21/2023,Received,7665699.08,2146395.742,9812094.822
PO-139869,SUP0008,DEL001,9/6/2020,10/2/2020,10/2/2020,Received,2433151.44,681282.4032,3114433.843
PO-941511,SUP0007,AHM001,5/23/2022,6/4/2022,6/4/2022,Received,1589999.36,426821.1968,2016820.557
PO-370941,SUP0002,AHM001,10/20/2024,10/30/2024,,Cancelled,10427284.21,2916774.419,13344058.63
PO-562305,SUP0004,PUN001,3/28/2023,4/15/2023,4/15/2023,Received,18932999.79,5286590.018,24219589.81
PO-152118,SUP0001,HYD001,2/5/2023,2/24/2023,,Cancelled,10118119.63,2823984.429,12942104.06
PO-437833,SUP0005,DEL001,6/19/2020,7/17/2020,7/17/2020,Received,8901941.61,2437269.5,11339211.11
PO-831213,SUP0006,KOL001,1/21/2022,1/31/2022,1/31/2022,Received,12828918.52,3572462.899,16401381.42
PO-242699,SUP0008,DEL001,8/29/2021,9/24/2021,9/24/2021,Received,1455632.06,262013.7708,1717645.831
PO-390725,SUP0008,CHN001,1/8/2021,2/3/2021,2/3/2021,Received,4509142.87,1246154.285,5755297.155
PO-978867,SUP0003,AHM001,11/28/2020,12/14/2020,12/14/2020,Received,745257.88,134146.4184,879404.2984
PO-402581,SUP0002,CHN001,7/15/2024,7/25/2024,7/25/2024,Received,2258146.91,626703.2048,2884850.115
PO-985919,SUP0004,HYD001,8/22/2022,9/9/2022,9/9/2022,Received,126846.66,22832.3988,149679.0588
PO-150117,SUP0008,PUN001,10/20/2022,11/15/2022,11/15/2022,Received,12830378.22,3466784.427,16297162.65
PO-452675,SUP0002,DEL001,12/1/2022,12/11/2022,,Cancelled,32873607.14,9193312.779,42066919.92
PO-619430,SUP0008,KOL001,5/8/2022,6/3/2022,6/3/2022,Received,5848468.55,1419030.706,7267499.256
PO-219386,SUP0003,KOL001,1/8/2019,1/24/2019,1/24/2019,Received,4773566.14,1277621.164,6051187.304
PO-770487,SUP0007,AHM001,9/4/2024,9/16/2024,,Cancelled,18304425.85,4887044.121,23191469.97
PO-502524,SUP0004,HYD001,3/1/2020,3/19/2020,3/19/2020,Received,2170571.71,598695.0588,2769266.769
PO-376891,SUP0001,PUN001,9/26/2022,10/15/2022,,Cancelled,8621541.43,2067126.69,10688668.12
PO-302753,SUP0007,PUN001,4/30/2024,5/12/2024,5/12/2024,Received,4073091.36,1058555.246,5131646.606
PO-310596,SUP0003,HYD001,1/19/2019,2/4/2019,,Cancelled,16851691.27,4689856.526,21541547.8
PO-504513,SUP0004,AHM001,9/20/2023,10/8/2023,10/8/2023,Received,26662061.91,7389942.736,34052004.65
PO-379238,SUP0007,KOL001,8/27/2023,9/8/2023,,Cancelled,10366953.89,2866361.625,13233315.52
PO-826445,SUP0001,AHM001,11/8/2024,11/27/2024,11/27/2024,Received,11875886.34,3023803.443,14899689.78
PO-968495,SUP0003,HYD001,7/17/2024,8/2/2024,,Cancelled,6265978.6,1511873.613,7777852.213
PO-804614,SUP0006,KOL001,2/22/2019,3/4/2019,3/4/2019,Received,14920562.98,3868112.718,18788675.7
PO-171803,SUP0003,HYD001,6/16/2019,7/2/2019,7/2/2019,Received,5803849.68,1552609.15,7356458.83
PO-785077,SUP0002,CHN001,4/25/2022,5/5/2022,5/5/2022,Received,17610770.73,4918491.65,22529262.38
PO-328256,SUP0005,PUN001,1/28/2020,2/25/2020,2/25/2020,Received,9753327.39,2708965.764,12462293.15
PO-401575,SUP0004,DEL001,5/10/2019,5/28/2019,5/28/2019,Received,2285215.31,639860.2868,2925075.597
PO-922780,SUP0002,KOL001,2/28/2023,3/10/2023,,Cancelled,18003354.48,4989239.964,22992594.44
PO-943207,SUP0008,PUN001,12/19/2021,1/14/2022,1/14/2022,Received,4829465.03,1283528.523,6112993.553
PO-371618,SUP0001,DEL001,5/18/2023,6/6/2023,6/6/2023,Received,25203524.67,7006000.836,32209525.51
PO-849630,SUP0004,DEL001,12/29/2024,1/16/2025,1/16/2025,Received,22245890.15,6221345.898,28467236.05
PO-896708,SUP0001,DEL001,5/17/2019,6/5/2019,6/5/2019,Received,12137588.64,3347282.236,15484870.88
PO-797654,SUP0003,CHN001,5/2/2022,5/18/2022,5/18/2022,Received,31158202.28,8668656.762,39826859.04
PO-403704,SUP0008,DEL001,9/14/2020,10/10/2020,10/8/2020,Received,963385.08,173409.3144,1136794.394
PO-897438,SUP0008,HYD001,4/4/2020,4/30/2020,,Cancelled,10681476.86,2990813.521,13672290.38
PO-723083,SUP0006,PUN001,2/2/2021,2/12/2021,2/12/2021,Received,17254839.01,4617801.905,21872640.91
PO-474736,SUP0005,CHN001,7/31/2024,8/28/2024,,Cancelled,754617.18,135831.0924,890448.2724
PO-647118,SUP0002,HYD001,11/29/2022,12/9/2022,12/9/2022,Received,26885034.15,7417222.195,34302256.35
PO-572149,SUP0004,AHM001,1/27/2022,2/14/2022,2/14/2022,Received,18086.4,3255.552,21341.952
PO-220215,SUP0008,AHM001,6/14/2019,7/10/2019,7/10/2019,Received,3885203.35,1046892.085,4932095.435
PO-939336,SUP0007,CHN001,12/16/2022,12/28/2022,12/28/2022,Received,1288627.44,360815.6832,1649443.123
PO-187384,SUP0002,HYD001,8/9/2021,8/19/2021,8/19/2021,Received,6011160.51,1633169.858,7644330.368
PO-596258,SUP0008,AHM001,12/5/2022,12/31/2022,12/31/2022,Received,14768794.73,4120975.076,18889769.81
PO-780201,SUP0008,AHM001,12/13/2020,1/8/2021,1/8/2021,Received,16566733.33,4527611.649,21094344.98
PO-691475,SUP0008,KOL001,11/6/2019,12/2/2019,12/2/2019,Received,18625899.34,5122837.354,23748736.69
PO-616491,SUP0001,HYD001,10/13/2019,11/1/2019,11/1/2019,Received,23955637.59,6588841.432,30544479.02
PO-871581,SUP0003,AHM001,10/1/2023,10/17/2023,10/17/2023,Received,15224350.55,4262818.154,19487168.7
PO-787386,SUP0008,PUN001,3/16/2024,4/11/2024,4/11/2024,Received,64678.32,11642.0976,76320.4176
PO-841168,SUP0005,KOL001,12/2/2024,12/30/2024,12/30/2024,Received,5542229.57,1541967.286,7084196.856
PO-184847,SUP0007,KOL001,5/11/2019,5/23/2019,5/23/2019,Received,10355623.04,2835879.034,13191502.07
PO-899899,SUP0008,PUN001,3/6/2021,4/1/2021,4/1/2021,Received,3468601.21,857648.5218,4326249.732
PO-867260,SUP0006,DEL001,3/19/2020,3/29/2020,3/29/2020,Received,7571608.88,2120050.486,9691659.366
PO-423111,SUP0007,KOL001,5/14/2024,5/26/2024,5/26/2024,Received,34944070.48,9726653.95,44670724.43
PO-810309,SUP0008,PUN001,11/13/2022,12/9/2022,12/9/2022,Received,14291606.18,3924217.419,18215823.6
PO-444144,SUP0004,DEL001,11/26/2023,12/14/2023,12/14/2023,Received,21168091.41,5607464.87,26775556.28
PO-125796,SUP0007,CHN001,6/3/2023,6/15/2023,6/15/2023,Received,711336.62,128040.5916,839377.2116
PO-767073,SUP0003,KOL001,11/12/2024,11/28/2024,11/28/2024,Received,23560473.44,6531906.267,30092379.71
PO-829566,SUP0001,HYD001,8/4/2023,8/23/2023,8/29/2023,Received,21203268.41,5926975.123,27130243.53
PO-174432,SUP0002,CHN001,4/28/2019,5/8/2019,5/8/2019,Received,4086250.98,931001.4314,5017252.411
PO-148378,SUP0008,HYD001,4/4/2024,4/30/2024,4/30/2024,Received,11756287.18,3217107.81,14973394.99
PO-392615,SUP0006,CHN001,10/11/2019,10/21/2019,10/28/2019,Received,22089656.87,5950969.49,28040626.36
PO-407394,SUP0001,HYD001,5/20/2024,6/8/2024,6/8/2024,Received,9061640.42,2514906.243,11576546.66
PO-254615,SUP0006,HYD001,9/20/2020,9/30/2020,10/2/2020,Received,6784225.66,1715686.884,8499912.544
PO-937753,SUP0005,DEL001,10/30/2020,11/27/2020,12/4/2020,Received,8291088.56,2275446.605,10566535.16
PO-810929,SUP0002,AHM001,3/26/2021,4/5/2021,4/2/2021,Received,11124693.79,2984899.548,14109593.34
PO-882084,SUP0008,AHM001,12/26/2020,1/21/2021,1/21/2021,Received,7579257.9,1978855.932,9558113.832
PO-666632,SUP0008,PUN001,8/5/2024,8/31/2024,8/31/2024,Received,25276992.94,6809396.778,32086389.72
PO-512244,SUP0001,CHN001,11/24/2022,12/13/2022,12/13/2022,Received,13906694.27,3843528.012,17750222.28
PO-394455,SUP0006,DEL001,5/2/2019,5/12/2019,,Cancelled,1689724.61,458534.7098,2148259.32
PO-220759,SUP0008,AHM001,11/1/2019,11/27/2019,11/27/2019,Received,20063342.84,5443784.952,25507127.79
PO-985731,SUP0004,KOL001,4/1/2019,4/19/2019,4/19/2019,Received,38241187.72,10656506.93,48897694.65
PO-619533,SUP0005,HYD001,8/25/2020,9/22/2020,,Cancelled,30110553.7,8329856.896,38440410.6
PO-616106,SUP0003,AHM001,4/1/2022,4/17/2022,4/17/2022,Received,25221150.16,6954641.977,32175792.14
PO-448240,SUP0008,DEL001,10/24/2021,11/19/2021,11/19/2021,Received,3441475.85,948916.088,4390391.938
PO-312531,SUP0001,DEL001,3/29/2023,4/17/2023,,Cancelled,4790768.03,1308323.997,6099092.027
PO-598493,SUP0003,CHN001,1/3/2024,1/19/2024,1/19/2024,Received,1639561.7,459077.276,2098638.976
PO-806272,SUP0008,CHN001,7/31/2020,8/26/2020,8/26/2020,Received,58227.82,10481.0076,68708.8276
PO-318974,SUP0006,HYD001,1/4/2020,1/14/2020,1/14/2020,Received,3892072.89,1020180.963,4912253.853
PO-245775,SUP0001,PUN001,5/5/2021,5/24/2021,5/23/2021,Received,286712,51608.16,338320.16
PO-501518,SUP0003,DEL001,3/21/2020,4/6/2020,4/6/2020,Received,36518084.03,9863522.144,46381606.17
PO-636385,SUP0006,KOL001,1/25/2023,2/4/2023,2/8/2023,Received,1538818.4,413200.976,1952019.376
PO-728300,SUP0002,DEL001,5/16/2021,5/26/2021,5/26/2021,Received,2491862.2,697721.416,3189583.616
PO-972366,SUP0007,AHM001,6/11/2024,6/23/2024,6/23/2024,Received,9245478.67,2588734.028,11834212.7
PO-856367,SUP0002,HYD001,6/29/2021,7/9/2021,7/9/2021,Received,2190294.07,595226.6936,2785520.764
PO-615285,SUP0008,CHN001,3/10/2023,4/5/2023,4/10/2023,Received,24955637.03,6961885.558,31917522.59
PO-748353,SUP0007,CHN001,2/10/2020,2/22/2020,2/22/2020,Received,35166273.47,9683086.188,44849359.66
PO-803166,SUP0004,AHM001,7/9/2020,7/27/2020,8/3/2020,Received,565955.2,158467.456,724422.656
PO-499151,SUP0003,KOL001,11/1/2019,11/17/2019,,Cancelled,12858210.4,3438934.909,16297145.31
PO-496862,SUP0003,HYD001,8/1/2024,8/17/2024,8/17/2024,Received,27823163.5,7784155.95,35607319.45
PO-439738,SUP0003,AHM001,2/10/2022,2/26/2022,3/4/2022,Received,4779266.44,1338194.603,6117461.043
PO-257796,SUP0008,PUN001,7/5/2022,7/31/2022,7/31/2022,Received,15976683.33,4324851.663,20301534.99
PO-934998,SUP0002,KOL001,3/9/2019,3/19/2019,,Cancelled,20709190.14,5714028.945,26423219.09
PO-798114,SUP0008,PUN001,10/7/2024,11/2/2024,,Cancelled,24708786.73,6867668.525,31576455.26
PO-919182,SUP0005,CHN001,10/3/2023,10/31/2023,11/7/2023,Received,32572175.35,8714571.627,41286746.98
PO-393582,SUP0001,KOL001,5/20/2023,6/8/2023,,Cancelled,1104055.6,234152.01,1338207.61
PO-944538,SUP0004,AHM001,4/22/2024,5/10/2024,5/10/2024,Received,477077.67,85873.9806,562951.6506
PO-468488,SUP0004,CHN001,8/4/2021,8/22/2021,8/22/2021,Received,6609220.54,1776434.651,8385655.191
PO-450304,SUP0003,DEL001,6/30/2022,7/16/2022,7/16/2022,Received,1799503.45,466196.346,2265699.796
PO-547672,SUP0006,DEL001,3/15/2023,3/25/2023,3/25/2023,Received,20462984.41,5400535.183,25863519.59
PO-329970,SUP0004,CHN001,3/5/2019,3/23/2019,3/23/2019,Received,13498680.73,3749252.022,17247932.75
PO-946580,SUP0005,CHN001,1/30/2024,2/27/2024,2/27/2024,Received,5427325.38,1287355.631,6714681.011
PO-850687,SUP0006,PUN001,12/22/2023,1/1/2024,1/1/2024,Received,1654010.56,452155.4528,2106166.013
